"Document","Document (lien)","Titre","Activités","Complétude","Localisation","Altitude","Régions","Contributeur","Contributeur (lien)","Date","Type d'évènement","Nombre de participants","Participants associés","Nombre de personnes touchées","Intervention des services de secours","Gravité","Niveau de risque d'avalanche","Pente de la zone de départ","Âge","Sexe","Implication dans la situation","Niveau de pratique","Fréquence de pratique dans l'activité","Nombre de sorties","Blessures antérieures","Résumé","Description","Lieu","Étude de l'itinéraire","Conditions","Préparation physique et niveau technique","Motivations","Gestion du groupe","Niveau de l'attention et évaluation des risques","Gestion de l'horaire","Mesures et techniques de sécurité mises en oeuvre","Éléments ayant atténué les conséquences de l'évènement","Éléments ayant aggravé les conséquences de l'évènement","Conséquences sur les pratiques","Conséquences physiques et autres commentaires","Itinéraires associés","Sorties associées","Articles associés"
"826924","https://www.camptocamp.org/xreports/826924","Mäderhorn: from Hospice to Rothwald","ski de randonnée","moyen","[897670.5776417688:5822456.992125382]","2600","Suisse,Valais,Alpes Tessinoises - Conches - Goms","Frédéric Bunoz","https://www.camptocamp.org/users/288","2014-12-21","avalanche","3","https://www.camptocamp.org/users/486883","1",,"pas de blessure",,"35-40",,,"témoin direct",,,,,,"A compléter",,,,,,,,,,,,,,,"https://www.camptocamp.org/outings/585245",
"826918","https://www.camptocamp.org/xreports/826918","Miroir d'Argentine: Impro-mix entre ""Bal des Mutants"", ""Y"", ""Directe"" et passages à la fraîche au milieu de tout ça.","escalade","moyen","[795235.8293671793:5824984.004799434]","2200","Suisse,Vaud,Alpes Vaudoises","Frédéric Bunoz","https://www.camptocamp.org/users/288","2014-10-19","chute de pierres","2","https://www.camptocamp.org/users/547921","1",,"pas de blessure",,,,"H","victime principale",,,,,,"A compléter",,,,,,,,,,,,,,,"https://www.camptocamp.org/outings/571128",
"703980","https://www.camptocamp.org/xreports/703980","Multiples erreurs lors d'un rappel : chute en bout de corde","escalade","moyen","[597680.246002097:5634414.576361807]","900","France,Isère,Vercors","Quentin B","https://www.camptocamp.org/users/455617","2014-10-11","chute d'une personne","2","https://www.camptocamp.org/users/455617","1",,"De 4 jours à 1 mois",,,"23","H","témoin direct","débrouillé","1 fois par mois","15 et plus",,,"Deux personnes réalisent une grande voie au rocher des Nugues à Presles.
Arrivés en haut, ils font le choix de descendre en rappel (2 rappels) plutôt que de descendre à pied (possible en haut de la voie)

Premier rappel sans problème

Au moment de tirer la corde, elle ne vient pas.
Après 45 minutes à tirer dans tous les sens, ils décident une autre option : en traversant à l'horizontal en bout de corde ils peuvent rejoindre le pied de la falaise (car le pied de la falaise n'est pas horizontal) :

Légende : 
\ = sentier / sol
- = paroi
o = grimpeur
x = relai
| = corde bloquée, il manque 10m pour atteindre le sol

situation : 
\------|-----
\\----xo-----
\\\----|-----
\\\\---|-----
\\\\\--------
\\\\\\-------

objectif : traverser pour atteindre le sol.
\------/-----
\\----/x-----
\\\--/-------
\\\\o--------
\\\\\--------
\\\\\\-------

Le premier grimpeur s'engage dans la traversée, il défait les noeuds en bout de corde pour que la corde ne le tire en pendule une fois qu'il pose pied au sol. Il parvient à rejoindre le sentier.

Le second grimpeur commence à traverser. Il perd l'équilibre et part en pendule. Il n'a pas le réflexe de bloquer la corde, son machard ne bloque pas, et il n'avait pas de noeud en bout de corde : il glisse en bout de corde et chute de 5 mètres au sol. (amorti par un arbre mort)

Rien de cassé, juste des hématomes et une épaule déplacée.


Après être allé au sommet à pied pour récupérer la corde, nous constatons que le noeud qui attache les deux brins (un noeud simple) est coincé car pris dans une gorge en V.","Presles, rocher des Nugues
Grande voie avec 2 longueurs de rappel.
Altitude et géoref approximatifs.",,,,"La cordée aurait pu faire le choix de descendre à pied depuis le haut de la voie, mais ils ont été motivés par l'envie de faire des rappels, car c'est plus sympa, et plus rapide quand tout se passe bien.",,,,"Deux erreurs ont été commises lors de l'installation du rappel :

- la cordée aurait du remarquer que le noeud allait se bloquer dans la gorge en V et aurait dû descendre le noeud sous cette gorge
- la cordée a fait un deuxième noeud (simple) pour lier les deux brins, en estimant rajouter une sécurité (mais en réalité en doublant le risque de coincer la corde)","Un arbre mort sous le point de chute a amorti le grimpeur, qui a cassé plusieurs branches avant de finir au sol.","Rappel légèrement en fil d'araignée, ne permettant pas une remontée sur corde.

La cordée était seule sur le secteur, avec aucun moyen de prévenir les autres membres du groupe, qui auraient pu accéder au haut de la paroi pour débloquer la corde.","Pas de conséquence sur la pratique, sauf peut-être une double vérification lors des rappels.","Après un scan aux urgences, rien de cassé, juste des contusions.",,,
"847198","https://www.camptocamp.org/xreports/847198","Chute d'un gros bloc sur L1","escalade","bon","[425179.78570782277:5431322.337056546]","250","France,Hérault","Gustave_Coste","https://www.camptocamp.org/users/551137","2014-10-03","chute de pierres","2","https://www.camptocamp.org/users/551137","0",,"pas de blessure",,,"24","H","témoin direct","autonome","moins d'1 fois par mois","de 0 à 4",,"Gros bloc (diamètre d'environ 20cm) tombé dans la seconde partie de la première longueur. Il a atterri à 1m de mon assureuse.","Sortie en terrain d'aventure au Pic Saint-Loup quelque jours après de gros épisodes cévenoles.
J'avais déjà fait quelques sorties, notamment dans ce secteur, mais c'était la première en terrain d'aventure pour Manon. Elle avait déjà fait pas mal de falaise en couenne et un peu de grande voie sportive.
Sur l'approche on voit de gros blocs tombés récemment avec les pluies. Ça nous met un peu la pression mais pas assez pour qu'on décide de ne pas se lancer dans la voie.
Le début de la première longueur est sans difficulté et correspond bien au topo de C2C. Puis j'arrive à ""une zone de fissures et de blocs enchâssés d'aspect douteux (4a)"". Je fais attention à tester mes prises mais au moment où je pose le pied sur un bloc, celui-ci se détache et tombe vers Manon environ 20m plus bas.
Je crie ""Attention, Attention!!!"" et Manon a juste le temps de se décaler avant que le bloc ne vienne s'éclater à 1m d'elle. Elle était pieds nus et a reçu quelque éclats dans les chevilles sans gravité.
Sous le choc, elle me rejoint et nous finissons la voie en ayant du mal à en profiter pleinement.","Le Pic Saint-Loup est connu pour son rocher assez moyen.","Je ne connaissait pas la voie mais le secteur et le topo C2C était assez précis.","On a vérifié la météo du jours mais on a pas eu la présence d'esprit de se méfier des pluies des jours précédents. On en a réalisé l'impact sur la stabilité du rocher une fois sur place et on a pas voulu faire demi-tour.","Je débutais dans le terrain d'aventure mais je ne suis pas sûr que plus d'aisance m'aurais permis d'éviter de faire tomber ce bloc.",,,,,,,"Fortes pluies les jours précédents",,,"https://www.camptocamp.org/routes/442007",,
"826897","https://www.camptocamp.org/xreports/826897","Mont Blanc : Traversée Tricot - But","neige glace mixte","moyen","[757848.2878283306:5754276.148153186]","3665","France,Haute-Savoie,Mont-Blanc","Frédéric Bunoz","https://www.camptocamp.org/users/288","2014-08-18","défaillance physique","2","https://www.camptocamp.org/users/221356","2","oui","pas de blessure",,,,,"victime principale",,,,,,"A compléter",,,,,,,,,,,,,,,"https://www.camptocamp.org/outings/558004",
"854941","https://www.camptocamp.org/xreports/854941","Chute de sérac meutrière glacier de la Charpoua","randonnée","excellent","[773124.3275914196:5767696.199802807]","2350","France,Haute-Savoie,Mont-Blanc","romaric","https://www.camptocamp.org/users/288002","2014-07-31","chute de glace","7","https://www.camptocamp.org/users/288002","2","oui","supérieur à 3 mois",,,"29","H","témoin direct","expert","2 à 3 fois par mois","15 et plus",,"Avalanche de Sérac du glacier de la Charpoua le 31/07 à 12h ayant entraîné la mort de 2 randonneurs qui étaient sur l'itinéraire de randonnée des balcons de la mer de glace. 5 autres personnes présentes au milieu du couloir au moment du déclenchement ont pu s'échapper indemnes. Intervention des secours du PGHM","Nous étions un groupe de 5 personnes pour faire le sentier des balcons de la mer de glace entre le Montenvers et le refuge du couvercle le 31/07/2014. 
Arrivée dans la traversée du couloir de la Chapoua à 12h nous avons rejoint 2 étrangers (nous avons appris par la suite que c'était des belges) qui étaient légèrement au dessus du chemin et semblaient en train de remonter le couloir pour arriver plus vite au refuge de la Charpoua. Au moment où nous étions tous les 7 dans la traversée du couloir, le glacier de la Charpoua s'est fracturé et des blocs de sérac sont tombés sur toute la largeur du glacier (100m de large). Une avalanche de glace s'est formée et à commencer à descendre le couloir vers nous. Etant le dernier j'ai rebroussé chemin (je n'ai jamais été aussi rapide pour courir), le reste de mon groupe qui était devant a couru se mettre à l'abri sous des rochers. Les 2 étrangers qui étaient au dessus du chemin n'ont pas vu l'avalanche partir (à cause d'un replat qui leur bouchait la vue) et n'ont pas eu le temps de dégager.
Nos cris pour les avertir se sont perdus dans le brouhaha de l'avalanche et en tournant la tête j'ai seulement pu les voir recevoir des bloc de glace sur eux. Le PGHM les a retrouvé 2 jours après. Ils sont morts sur le coup.
Une fois que j’étais à l'abri, j'ai appelé le 112 qui m'a passé le PGHM. 2 minutes après ils étaient sur les lieux pour rechercher les victimes. 
Comme j'étais en état de choc, ils m'ont ramené à la DZ en hélicoptère. Le reste de mon groupe qui était de l'autre coté de l'avalanche a continué vers le refuge du couvercle puis après une conversation avec le PGHM, ce dernier a décidé de venir les chercher en hélicoptère.","Traversée du couloir de la Charpoua sur le sentier des balcons de la mer de glace en direction du refuge du couvercle","Préparation en amont via une carte IGN","Oui via le site meteo-chamonix 2 jours avant. Grand beau temps annoncé","Nous étions en pleine forme. Nous devions gravir le mont-blanc 3 jours après. La randonnée devait être notre dernière sortie avant l'ascension.","Dernier entrainement avant l'ascension du Mont-Blanc (que nous avons annuler suite à la fatigue psychique)","Notre groupe était compact et expert (5 personnes). Nous n'avions aucun lien ni connaissance avec les 2 personnes décédées dans l'accident. Elles se trouvaient seulement au milieu du couloir en même temps que nous (nous les avons rattrapés)","Fort
Réévaluation du risque en voyant le panneau d'attention juste avant la traversée du couloir: ""ATTENTION - Chute de glace fréquence sur 300m, traversez rapidement"" en anglais et en français. Comme c'et rare de voir des panneaux d'attention en montagne, c'est un signe que le danger était très important.","Horaire respecter. Départ par le premier train pour le Montenvers","Mise en sécurité et appel du 112. Puis le PGHM a pris le relai","Nous savions que l'itinéraire était dangereux en raison des falaise, des échelles et de l'environnement en haute montagne même si cela reste un chemin de randonnée. Nous avons pris nos précaution pour traverser le couloir rapidement et sans être gêné les un des autres d'autant plus en lisant le panneau d'attention indiquant des chutes de sérac fréquentes.
En traversant nous avions la tête faire le haut pour tout le temps voir le glacier et réagir rapidement à un déclenchement de chute","Les deux personnes décédées semblaient en train de remonter le couloir pour arriver plus vite au refuge de la Charpoua. Dans tout les cas, elles étaient légèrement au dessus du chemin. De part leur position, elles ne pouvaient pas voir le glacier qui s'est effondré à cause d'un léger replat qui leur bouchait la vue.","Encore plus humble face à la montagne.
Plus d'envie de faire des courses d'alpinisme d'un niveau supérieure à PD.
Encore plus attentif aux dangers en montagne","2 décédés d'un groupe de 2 personnes que nous ne connaissions pas et qui étaient seulement au même moment que nous dans le couloir.
Pas de conséquence physique sur les 5 personnes de mon groupe. 
Par contre des conséquences psychiques marquées. J'ai personnellement vue 2 personnes mourir sous mes yeux et durant 20 secondes j'ai cru que l'ensemble de ma famille et belle-famille était morte.","https://www.camptocamp.org/routes/158743",,
"910515","https://www.camptocamp.org/xreports/910515","Arete Est de la Pointe des Arses 3178m, chute de blocs et chute dans un des couloirs Nord.","rocher haute-montagne","excellent","[786181.1019860534:5684387.11913914]",,"France,Savoie,Alpes Grées - Charbonnel","Patrick Prele","https://www.camptocamp.org/users/10284","2014-07-27","chute de pierres,chute d'une personne","2","https://www.camptocamp.org/users/10284","1",,"De 1 à 3 mois",,,"53","H","victime principale","débrouillé","2 à 3 fois par mois","15 et plus","autres blessures","Parcours de l'arête Est de la Pointe des Arses en AR, après avoir atteint le col homonyme par le versant S depuis Bonneval sur Arcs (passages en névé raides, escalade facile mais expo sur vire en mauvais rocher)
Chute au cours de la descente de l'arête E lors d'une traversée sur une vire. 
Un gros rocher servant d'appuis a basculé, je suis parti avec dans un des couloirs N.
Arrêt inespéré sur une vire quelques mètres plus bas alors que le bloc a déroulé sur 200m dans le couloir.

","Descente de l'arête E de la pointe des Arses au-dessus de Bonneval sur Arc. C'est la voie Normale. 
Arete en mauvais caillou instable mais facile, quelques pas de 3 au maximum.

Parcours en AR de l'arête, seul (Mon pote Jérôme reste au col car il trouve l'arête ""trop péteuse!""), non encordé et sans le port du casque que j'ai laissé au col avec le sac.
Lors de la descente, sous le couloir sommital en caillasse => traversée d'une vire facile au-dessus du du couloir N. 
Quelques pas en traversée simple sur 10m, peut être un pas de 3, mais expo quand même en cas de chute.
Un des pas consiste en une très grande enjambée dynamique depuis une petite plateforme pour récupérer une vire, au-dessus du couloir N (Idem par rapport à la montée mais en sens inverse). 
Lors du pas je m’appuie à la réception sur un gros bloc sympathique bien prisu, qui qui décroche quand je le saisis.

Je pars à la renverse sur le dos avec le bloc sacrément lourd sur la poitrine. 
Chute de quelques mètres et atterrissage violent sur le dos sur une sorte de vire assez raide en caillasse au debut du cpouloir N.
Le choc très violent au dos avec un claquement sec (ça je m'en souviens). Le bloc me roule dessus et continue sa course dans le couloir.
J'ai eu le réflexe (était-ce le bon ?) de me mettre en boule et de rentrer la tête sur la poitrine.
Je suis resté sonné quelques instants le temps de comprendre ce qu'il s'est passé. 
Je bouge les pieds et les doigts (grosse angoisse que plus rien ne réponde).
Forte douleur sur la cheville gauche qui est coincé sous un gros bloc. 
Comment, je ne sais pas, j'envoie tout en l'air, me redresse pour récupérer la vire avec un énorme mal de dos. 
Je reste couché une bonne demie heure sur la vire à récupérer.
Puis descente comme j'ai pu jusqu'au col ou je retrouve mon pote Jérôme et je m’écroule.
Descente très difficile au col de l'Iseran par nos propres moyens.(on s'est posé la question d'appeler les secours, je n'ai pas voulu estimant que le col est suffisamment proche pour descendre par moi même)
Nous rencontrons  deux personnes qui descendaient de l'Ouille noire qui nous ont aiderons. (Port du sac, aide à la marche)

Retour à la maison à Bessans, toubib à Lanslevillard, puis nuit à l'hôpital de Saint de Maurienne.

Bilan des courses : Nombreux hématomes (tout le dos et les fesses bleues), une cote cassée, petite entorse cheville gauche, suspicion hémorragie interne -taux de saturation un poil bas dixit le médecin et un peu variable si j'ai bien compris?- d'où la nuit à en observation, mais rien ouf...

Et deux mois de convalescence !

","Descente de l'arête E de la Pointe des Arses.
Traversée d'une vire sous le couloir sommital, un des rare passage en versant N de la Pointe.","Itinéraire connu que j'ai déjà parcouru deux fois.
Même si bien entendu je n'en avais pas une connaissance par cœur je me souvenais de ce crapahu en terrain péteux, mais comme souvent en Vanoise.
Temps plutôt beau, bonne visibilité.","Il a beaucoup plu la vielle (!). Le versant sud au dessus de Bonneval est détrempé quand on part.
Les vires schisteuse versant Sud du col des Arses et le couloir de neige sommital son encore mouillés même si ça sèche vite.
Beau temps avec des cumulus qui se forment.

Est la pluie qui a favorisé l'instabilité du rocher? A la montée je suis passé dessus et il n'a pas bougé.
","Forme correcte, pas de fatigue arrivée au col, bien que la montée du versant sud soit un peu raide et complexe.
Pas mal de sorties en escalade/falaise cette année là.
Course peu difficile, parcours typiquement Vanoise, qu'on pratique assez régulièrement.","Envie d'un grand parcours sauvage et solitaire. J'adore cette Pointe qui domine Bonneval sur Arc. 
Grosse envie de prendre le temps de faire des photos, grosse motiv'. (l'APN a suivi le bloc dans le couloir)
Jérôme a la même envie, à par la peur du patou lors de la traversée du troupeau de mouton, RAS.","Parfaitement en phase jusque 100m sous le col des Arses versant S. On hésite entre le couloir (100m 40/45°) en neige molle avec une sortie qui semble cornichée.
Ça ""parpine"" dans ce couloir S, je ne le sens pas!
On se décide pour la rive gauche du couloir, par un ensemble de vires et passages en schistes raides péteux et mouillés.
Ça passe sans gros problème mais il ne ""faut pas s'en mettre une"", c'est expo surtout quand c'est mouillé.
On grimpe proche l'un de l'autre sans être encordé.
Jérôme n'a pas aimé du tout et décide de stopper au col,il lâche l'affaire pour la suite de l'arête que je trouve franchement plus simple.
","Jérôme stoppe au col trouvant ""le truc"" trop péteux, en plus trop mouillé.
Moi j'ai la caisse et l'envie, je passe outre.
Pour aller plus vite je laisse le sac au col. J'enlève le casque et monte ultra léger juste avec l'appareil photo (l'arête est facile), c'est l'histoire d'une heure max en AR.
A ce stade, et avec le recul, dans ma tête, je n'imaginais pas ne pas aller en haut!","Horaire tenu jusqu'au sommet si on excepte la demi heure au pied du couloir a se décider si on le remonte ou si on prend les rochers rive gauche.
Quand à la descente, j'en parle par puisque c'est après l'accident et qu'on n'a pas voulu appeler les secours (fallait il ou pas?)","Aucun, c'est une arête facile, j'étais seul.","Je me demande, si j'avais gardé le sac, celui ci aurait-il amorti la chute et m'aurait il protégé évitant ainsi la fracture d'une côte?
Sinon je ne vois rien qui a atténué les conséquences à par cette petite vire qui a du m’évité de suivre le bloc pendant 200m dans le couloir?","Pas de casque (mais la tête n'a pas été touché même si j'ai été sonné)
Pas de sac à dos qui peut être aurait amorti le choc dorsal?","Rien de particulier, si ce n'est que je porte plus souvent le casque.","Dernière côte fixe cassée à 5cm de le colonne, petite entorse à la cheville gauche, nombreux hématomes et éraflures..

J'y pense encore souvent à cette gamelle, même trois ans après!",,,
"699956","https://www.camptocamp.org/xreports/699956","Pointe de Labby : Arête du soleil (accident au rappel)","rocher haute-montagne,neige glace mixte","moyen","[749522.3691534303:5669150.493704331]","3480","France,Savoie,Vanoise","jewok","https://www.camptocamp.org/users/427171","2014-07-23","avalanche,chute de pierres","2","https://www.camptocamp.org/users/427171","2",,"pas de blessure","non renseigné","<30","25","H","victime principale","autonome","moins d'1 fois par mois","de 0 à 4",,,"Après quelques jours désastreux niveau météo (beaucoup de pluie de et nuages les jours précédents), nous profitons d'une matinée de beau temps pour monter au passage de Rosoire. Si la montée au col de Labby se fait dans les temps, nous perdons pas mal de temps ensuite, notamment sur le glacier a cause des conditions de neige. Constatant que nous ne tenons pas l'horaire, et face à la météo qui tourne de plus en plus, nous préférons ne pas nous engager dans la voie proprement dite, et préférons nous replier. 

Il existait un rappel installé au pied de la première longueur, un grosse corde fixe autour d'un énorme becquet, et un maillon rapide. Nous checkons l'état de la corde et du maillon, tout semble impec. Mathieu descend le premier et prends pied sur le glacier. Plusieurs pierres se font la malle pendant sa descente. Je m'élance à mon tour, avec prudence de peur que d'autres pierres ne me suivent. J'ai le temps de descendre de quelques mètres lorsque l'accident se produit.

Dans un bruit de tonnerre, le becquet se détache de la paroi. Il s'agissait en fait d'un énorme rocher sur l'arrête, pris dans la neige. Je chute jusqu'au glacier où j’atterris sur le dos. J'ai probablement du faire une chute d'une 15aine de mètres. Heureusement la neige molle a amorti la réception. Par miracle, le rocher ne nous ai pas tombé dessus (pour rejoindre le glacier à son point le plus près, nous descendions le long d'un dièdre qui n'était pas pile poil à la vertical du point de rappel. Par contre, en tombant sur le glacier, il déclenche une coulée de neige, d'approximativement 10m de large. Nous sommes emportés par celle-ci. De plus, étant toujours encordés, et le rappel toujours accroché au rocher, celui-ci nous traine dans la neige jusqu'à ce que la corde fixe se rompe. Nous réussissons à nous maintenir à la surface de la coulée. Arrivée dans des pentes moins raide, celle-ci se stoppe d'elle même.

Nous avons pu nous replier par nos propres moyens. Plus de peur que de mal, nous avons eu énormément de chance. Nous nous en tirons avec une corde foutue, une petite entorse à la cheville et un joli mal de dos.

En repassant le col de Labby, nous avons été témoins d'une importante coulée, en face Est du dôme sud du Genepy. Là aussi, une partie des rochers de l'arrête se sont décrochés et ont emportés avec eux une grosse masse de neige jusqu'au glacier en contrebas.

Tentative d'analyse de l'accident:

Je pense que les conditions des jours précédents l'accident ( beaucoup de pluie, température fraîche mais pas négatives) ont fragilisé la roche sur les arrêtes. Le rappel nous a paru sain, une rapide inspection de celui-ci n'a pas soulevé le moindre doute. Peut être que nous aurions du nous méfier lorsque les premières pierres sont tombé. Mais j'ai interprété ça comme étant normal pour un rappel en terrain non purgé. Je ne comprends pas malgrès tout comment mon poid (avec le sac environs 70kg) a pu faire partir ce rocher qui dois lui bien faire dans les plusieurs tonnes, et qui ne bougeait pas du tout tout le temps où j'étais à coté de lui. Peut être que les pierres en tombant ont fragilisé son assise, pendant que la corde fixe qui l'enserrais a pu ""scier"" la base. En tout cas, la coulée dont nous avons étés témoins à peine 30mn plus tard du coté du dôme du Genepy me fait penser que c'est toute cette crête rocheuse entre le glacier de la Manure et le glacier du Genepy qui est fragilisé, soyez prudents.
","Lors de l'approche de l'arrête du soleil, au niveau de l'attaque. Une réchappe (corde fixe sur becquet) permettait de tirer un rappel vers le glacier de la Mahure.",,"La sortie se déroule à la fin au cours d'un mois du juillet très pluvieux. Nous étions montés pour 5 jours au refuge de la Dent Parrachée pour y faire des courses en étoile. Après 3 jours plus ou moins cloîtré au refuge à cause de la pluie, le temps se dégage enfin le matin de la course. Mais arrivé à l'attaque, des nuages menaçant se forment puis descendent vers nous. Ce qui nous a incité à renoncer à la course et nous lancer dans cette fameuse réchappe ... Dans l'après midi, retour de la pluie.",,,,"A mon sens bonne réévaluation des risques, puisque c'est justement à cause de ces observations que nous décidons du repli. Je crois sincèrement qu'il étaient difficile d'anticiper un tel événement. Nous étions méfiant vis à vis de la neige fraîche, et des risques que la météo tourne mal. Mais pas spécialement inquiet (conscient?) des effets possibles d'autant de pluie dans les semaines précédent la course.",,,"Plusieurs événements ont permis d'éviter une issue dramatique à cet accident:

- le rappels longeait un petit dièdre un peu en diagonale. Nous ne descendions donc pas à la vertical du relais, ce qui nous a sans doute évité de se prendre le bloc.
- le manteau neigeux était frais et épais. ça a permis l'avalanche, mais ça a aussi amortis ma chute.
- le relais était constitué d'une corde fixe. Celle ci a rompu dans l'avalanche, ce qui m'a libéré. 
- Et bien sur, l'accident a eu lieu alors que le dernier étaient dans le rappel. Si le bloc était parti alors que j'étais encore longé dessus, il est probable que les conséquences auraient été dramatiques, étant accroché au bloc.",,,"Une entorse à la cheville et une vertèbre déplacée pour moi, mon compagnon n'a rien eu.",,"https://www.camptocamp.org/outings/545605",
"706667","https://www.camptocamp.org/xreports/706667","Accident : Le Moriond : L'été indien","escalade","moyen","[751528.9029749791:5682355.4139937945]",,"France,Savoie,Vanoise","cevenol38","https://www.camptocamp.org/users/380935","2014-07-18","chute encordé,chute de pierres","2","https://www.camptocamp.org/users/380935","1","oui","De 1 à 3 mois",,,"36","H","témoin direct","débrouillé","au moins 3 fois par semaine","de 0 à 4",,,"Nous nous sommes arrêtés à la longueur L4 suite à une chute de ma camarade de cordée. Plusieurs mètres au dessus de la 5ème dégaine un bloc d'une dizaine de kilos a lâché sous sa main l'entrainant dans une chute d'un peu moins de 10m. Elle est partie de dos, tête en bas. La réception sur le rocher a été grandement amortie par le sac à dos et son contenu mais aussi le casque dont la structure pour le serrage s'est écrasée.
Bilan => fracture du bassin, contusions au bras droit et une grosse frayeur. Heureusement le téléphone passe bien et il a été facile d'alerter les secours qui ont été sur place en 10min.
Un grand merci à eux qui ont été efficaces et très sympas.
L'équipement en place est parfois vraiment espacé notamment à l'approche des relais. ",,"L'approche se fait assez facilement du bas en ce dirigeant au pied de l'éboulis.
L'équipement est assez espacé parfois et pas toujours bien placé. Le repérage de la voie n'est pas toujours évident.
Le rocher est parfois instable. ","Beau temps","Pratique régulière de l'escalade (4/5 fois par semaine), très en dessous de notre niveau max (7A)","Faire une grande voie facile avec un bon équipement en place dans la Vanoise",,,"Non, la gestion du temps n'est pas la cause.","Assurage sur corde à double","Port du casque et d'un sac à dos","Le poids du sac à dos","Appréhension en t^tee en extérieur pour l'accidentée","Fracture du bassin, contusions",,"https://www.camptocamp.org/outings/546931",
"707405","https://www.camptocamp.org/xreports/707405","Chute de pierres dans le couloir Coolidge","neige glace mixte","moyen","[712235.4604342601:5604924.3191472795]","3600","France,Hautes-Alpes,Écrins","Munch","https://www.camptocamp.org/users/567073","2014-07-17","chute de pierres","3","https://www.camptocamp.org/users/567073","1",,"De 4 jours à 1 mois",,,"29","H","témoin direct","débrouillé","1 à 2 fois par semaine","de 10 à 14",,,"[u]**Contexte**[/u]
Nous étions un groupe de 4 à être montés au refuge du Pelvoux en venant la veille de celui du Sélé après une tentative ratée d'Ailefroide Occidentale (but conditions / itinéraire).
Le refuge est complet ce soir-là. Le lendemain matin au réveil, une personne de notre groupe renonce à partir car la fatigue de la veille et la mauvaise nuit passée ne lui ont pas permis d'être d'attaque. On décide donc de partir à trois en n'oubliant pas la deuxième corde pour les rappels, c'est mieux.
C'est la course le matin au refuge avec, comme souvent, ceux qui mettent leur alarme 10 minutes avant le réveil gardien et les autres qui partent du refuge avec le mélange muesli/lait encore dans la bouche.
Incluant notre groupe, nous sommes ainsi **9 cordées** à partir pour le Coolidge.

[u]**Situation au moment de l'incident**[/u]
Je suis le plus expérimenté et mène donc la cordée. Nous remontons le couloir en rive droite pour, d'une part, ne pas être dans l'axe du couloir et, d'autre part, de bénéficier de l'abri des resserrements rocheux de la rive droite (justement en prévision des chutes de pierres).
Arrivés au 2/3 du couloir, nous passons un resserrement et nous rabattons en rive droite du couloir quand on entend la cordée du haut annoncer la chute de pierres. J'étais déjà bien revenu en rive droite, la deuxième personne de la cordée aussi, mais pas la troisième personne qui venait juste passer à hauteur du resserrement. Le réflexe a donc été de se coucher face à la pente, le casque bien dirigé vers le haut du couloir, tout en essayant de se rabattre encore plus sur la rive droite. 
Ce fut une belle salve de cailloux, pas très gros, mais repartis sur presque toute la largeur du couloir et surtout très rapides (bruit ""frrrrrr"" caractéristique). 
Nous supposons que la chute a été provoquée par une cordée arrivant sur le plateau sommital juste avant lequel se trouve la partie souvent déneigée du couloir.

**[u]Conséquences[/u]**
La troisième personne de la cordée a été percutée sur le dessus de la main droite. Malgré le port des gants, on découvre un beau ""trou"" sanguinolant à la base des phalanges proximales (merci wikipedia) de l'index et du majeur. 
Après avoir remercié de loin la cordée du haut nous rebroussons chemin, parfaitement conscients que la suite de la course aurait été très compliquée avec une telle blessure, surtout pour les rappels.
Les soins auront quand même attendu Grenoble: quelques points de suture et 10 jours de non pratique.
","Cooloir Coolidge, voie normale du Pelvoux",,"Beau temps et très bon regel dans le couloir.","Bonne condition physique des participants.","Beauté et variété de la course. ","Groupe ayant plusieurs sorties en commun au compteur.",,"Timing ok","Progression randonnée glaciaire avec encordement rapproché (couloir)","Port des gants","Neige gelée permettant une grande vitesse des pierres","Évitement de la foule lorsque possible: choix de voies alternatives moins fréquentées pour l'ascension d'un sommet ou choix de jours hors weekend pour une course.",,,,
